1785951483,0, 72.60, 73543, 81920
1785951488,0, 72.97, 73543, 81920
1785951493,0, 72.93, 73543, 81920
1785951498,0, 72.69, 73543, 81920
1785951503,0, 72.93, 73543, 81920
1785951508,0, 72.85, 73543, 81920
1785951513,0, 72.93, 73543, 81920
1785951518,0, 72.85, 73543, 81920
1785951523,0, 72.85, 73543, 81920
1785951529,0, 72.85, 73543, 81920
1785951534,0, 73.01, 73543, 81920
1785951539,0, 72.76, 73543, 81920
1785951544,0, 72.76, 73543, 81920
1785951549,0, 72.85, 73543, 81920
1785951554,0, 72.69, 73543, 81920
1785951559,0, 72.85, 73543, 81920
1785951564,0, 72.85, 73543, 81920
1785951569,0, 72.76, 73543, 81920
1785951574,0, 72.93, 73543, 81920
1785951579,0, 72.85, 73543, 81920
1785951584,0, 73.05, 73543, 81920
1785951589,0, 73.14, 73543, 81920
1785951594,0, 73.05, 73543, 81920
1785951599,0, 72.68, 73543, 81920
1785951604,0, 72.85, 73543, 81920
1785951609,0, 72.76, 73543, 81920
1785951614,0, 72.85, 73543, 81920
1785951619,0, 72.85, 73543, 81920
1785951624,100, 453.07, 73543, 81920
1785951630,0, 86.13, 73543, 81920
1785951635,32, 265.39, 73543, 81920
1785951640,88, 268.65, 73543, 81920
1785951645,100, 288.58, 73543, 81920
1785951650,0, 75.28, 73543, 81920
1785951655,54, 432.95, 73543, 81920
1785951660,59, 373.78, 73543, 81920
1785951665,100, 214.09, 73543, 81920
1785951670,100, 457.67, 73543, 81920
1785951675,74, 265.17, 73543, 81920
1785951680,100, 295.89, 73543, 81920
1785951685,100, 297.97, 73543, 81920
1785951690,100, 303.75, 73543, 81920
1785951695,62, 91.07, 73543, 81920
1785951700,0, 76.40, 73543, 81920
1785951705,0, 75.57, 73543, 81920
1785951710,0, 75.12, 73543, 81920
1785951715,0, 74.66, 73543, 81920
1785951720,0, 74.50, 73543, 81920
1785951726,0, 74.29, 73543, 81920
1785951731,0, 73.76, 73543, 81920
1785951736,0, 73.38, 73543, 81920
1785951741,0, 73.29, 73543, 81920
1785951746,0, 73.29, 73543, 81920
1785951751,0, 73.38, 73543, 81920
1785951756,0, 73.46, 73543, 81920
1785951761,0, 73.22, 73543, 81920
1785951766,0, 73.46, 73543, 81920
1785951771,0, 73.38, 73543, 81920
1785951776,0, 73.38, 73543, 81920
1785951781,0, 73.14, 73543, 81920
1785951786,0, 73.38, 73543, 81920
1785951791,0, 73.22, 73543, 81920
1785951796,0, 73.14, 73543, 81920
1785951801,0, 73.01, 73543, 81920
1785951806,0, 72.97, 73543, 81920
1785951811,0, 72.85, 73543, 81920
1785951816,0, 72.85, 73543, 81920
1785951821,0, 83.55, 73543, 81920
1785951827,0, 73.46, 73543, 81920
1785951832,100, 290.18, 73543, 81920
1785951837,100, 296.67, 73543, 81920
1785951842,0, 74.95, 73543, 81920
1785951847,100, 295.47, 73543, 81920
1785951852,100, 296.54, 73543, 81920
1785951857,100, 299.43, 73543, 81920
1785951862,100, 294.64, 73543, 81920
1785951867,100, 89.58, 73543, 81920
1785951872,100, 300.50, 73543, 81920
1785951877,100, 302.58, 73543, 81920
1785951882,100, 469.79, 73543, 81920
1785951887,100, 272.96, 73543, 81920
1785951892,47, 285.33, 73543, 81920
1785951897,0, 77.38, 73543, 81920
1785951902,100, 281.89, 73543, 81920
1785951908,100, 283.98, 73543, 81920
1785951913,100, 285.78, 73543, 81920
1785951918,100, 424.33, 73543, 81920
1785951923,100, 298.56, 73543, 81920
1785951928,100, 301.39, 73543, 81920
1785951933,100, 470.02, 73543, 81920
1785951938,100, 308.24, 73543, 81920
1785951943,100, 340.87, 73543, 81920
1785951948,100, 358.96, 73543, 81920
1785951953,100, 330.38, 73543, 81920
1785951958,100, 334.98, 73543, 81920
1785951963,100, 315.17, 73543, 81920
1785951968,100, 502.90, 73543, 81920
1785951973,100, 356.12, 73543, 81920
1785951978,100, 346.95, 73543, 81920
1785951983,100, 317.36, 73543, 81920
1785951989,100, 318.34, 73543, 81920
1785951994,100, 320.16, 73543, 81920
1785951999,100, 508.68, 73543, 81920
1785952004,100, 323.41, 73543, 81920
1785952009,100, 453.30, 73543, 81920
1785952014,100, 478.18, 73543, 81920
1785952019,100, 487.88, 73543, 81920
1785952024,100, 499.51, 73543, 81920
1785952029,100, 444.43, 73543, 81920
1785952034,100, 328.81, 73543, 81920
1785952039,100, 505.38, 73543, 81920
1785952044,100, 496.27, 73543, 81920
1785952049,100, 464.40, 73543, 81920
1785952054,100, 451.17, 73543, 81920
1785952059,100, 468.43, 73543, 81920
1785952064,100, 346.65, 73543, 81920
1785952069,100, 443.58, 73543, 81920
1785952075,100, 272.84, 73543, 81920
1785952080,100, 497.62, 73543, 81920
1785952085,100, 487.34, 73543, 81920
1785952090,100, 436.33, 73543, 81920
1785952095,100, 340.96, 73543, 81920
1785952100,100, 328.52, 73543, 81920
1785952105,96, 99.35, 73543, 81920
1785952110,100, 489.74, 73543, 81920
1785952115,100, 493.22, 73543, 81920
1785952120,13, 309.25, 73543, 81920
1785952125,100, 247.59, 73543, 81920
